"","datetime","city","country","shape"
"82160",2020-09-13,"quakertown","us","light"
"32055",2020-02-27,"issaquah","us","light"
"22771",2020-12-25,"edmonds","us","light"
"72270",2020-08-01,"brick town",NA,"light"
"77190",2020-08-25,"port saint lucie","us","light"
"74705",2020-08-18,"widdrington/morpeth&#44 northumberland (uk/england)",NA,"light"
"52145",2019-06-01,"hyde park","us","other"
"71101",2019-08-10,"fresno","us","other"
"30385",2020-02-19,"fort larome",NA,"rectangle"
"43132",2020-04-24,"north myrtle beach","us","sphere"
"53232",2020-06-01,"brooklyn park","us","sphere"
"70069",2020-07-06,"ottawa (canada)","ca","unknown"
"80389",2020-08-09,"graham","us","cigar"
"1566",2020-10-13,"hudson","us","circle"
"52490",2019-06-01,"southmountain (canada)",NA,"circle"
"64621",2020-07-19,"sapulpa","us","fireball"
"80415",2020-08-09,"ridgecrest","us","light"
"22293",2020-12-23,"bear","us","fireball"
"78363",2020-08-30,"dover","us","light"
"18038",2020-01-18,"augusta","us","triangle"
"19484",2020-12-01,"burke","us","triangle"
"14414",2020-11-25,"west mifflin","us","fireball"
"37140",2020-03-25,"wilsonville","us","rectangle"
"86926",2020-09-29,"port louis (mauritius island)",NA,"circle"
"20560",2020-12-16,"st. thomas (canada)","ca","disk"
"86530",2020-09-28,"portage","us","formation"
"88778",2020-09-09,"lower lake","us","light"
"79477",2019-08-06,"crescent junction (two ranch exits east of on i-70)","us","other"
"40276",2020-04-12,"prince george (canada)","ca","oval"
"36810",2020-03-23,"vanceboro","us","sphere"
"86632",2020-09-28,"polk city","us","unknown"
"83748",2020-09-18,"phoenix","us",NA
"80116",2020-08-08,"cincinnati","us","sphere"
"59022",2020-06-30,"santa clara","us","disk"
"56360",2020-06-21,"glendale","us","cone"
"40817",2019-04-15,"chicago","us","disk"
"57499",2020-06-25,"victorville","us","egg"
"79128",2020-08-04,"ontonagon","us","light"
"14146",2020-11-24,"lyman","us","light"
"77107",2020-08-25,"yacolt","us","light"
"9644",2020-11-12,"seattle","us","other"
"46695",2020-05-13,"paisley (uk/scotland)","gb","light"
"41279",2020-04-16,"sherwood","us","sphere"
"38770",2019-03-06,"mountain city","us",NA
"13249",2020-11-02,"forest lake","us","triangle"
"2766",2019-10-17,"warrensville","us","light"
"10866",2019-11-16,"louisville (45 miles southeast of)","us","changing"
"80862",2019-09-11,"pierce city","us","cigar"
"26978",2020-01-03,"mt. morris","us","circle"
"36124",2020-03-20,"kearny","us","circle"
"10181",2020-11-14,"manchester (glossup) uk/england",NA,"circle"
"21890",2020-12-02,"concord","us","fireball"
"21429",2020-12-20,"nelson (canada)","ca","light"
"77903",2020-08-28,"ridgefield","us","other"
"54823",2020-06-15,"carrollton","us","rectangle"
"58334",2020-06-29,"south slocan (canada)",NA,"disk"
"30853",2019-02-02,"lancaster","us","disk"
"3603",2020-10-20,"rock creek lake",NA,"light"
"46884",2020-05-14,"fremont county",NA,"fireball"
"35231",2020-03-15,"angola","us","formation"
"21388",2020-12-20,"lawrence","us","oval"
"36826",2020-03-23,"las vegas","us","oval"
"56776",2020-06-22,"poway","us","sphere"
"39686",2020-04-10,"livingston (east of)","us","sphere"
"32066",2020-02-27,"raleigh","us","triangle"
"15780",2020-11-03,"milton (canada)","ca","unknown"
"77706",2019-08-28,"burbank (east of)","us","unknown"
"3990",2019-10-02,"vicksburg","us","circle"
"58928",2020-06-30,"largo","us","disk"
"50105",2019-05-31,"fort hood",NA,"light"
"58578",2019-06-30,"honolulu","us","sphere"
"65349",2020-07-02,"rachel","us","triangle"
"30622",2020-02-20,"hampton","us",NA
"68845",2020-07-04,"el cajon","us","light"
"83388",2020-09-17,"austin","us","fireball"
"4479",2020-10-23,"hudson","us","triangle"
"51045",2019-05-07,"gresham","us",NA
"82952",2020-09-15,"wingo","us","circle"
"76524",2020-08-23,"fort dodge","us","fireball"
"44528",2020-04-04,"acme","us","diamond"
"78627",2020-08-31,"madison","us","fireball"
"80010",2020-08-07,"seattle","us","circle"
"7223",2020-10-05,"ridgeway (canada)",NA,"unknown"
"58193",2020-06-28,"redding","us","flash"
"8216",2019-01-10,"bremerton (over)","us","light"
"24951",2019-12-05,"north bend","us",NA
"52368",2019-06-01,"waco","us","sphere"
"5954",2020-10-29,"college station","us","triangle"
"4685",2020-10-24,"cleveland (?)","us","cigar"
"70296",2019-07-07,"ardmore (near)","us","sphere"
"72521",2020-08-12,"chicago","us","flash"
"51618",2020-06-10,"avoco",NA,"triangle"
"79544",2020-08-06,"weston","us","light"
"50911",2020-05-06,"boise","us","oval"
"66237",2019-07-25,"tucson","us","light"
"69353",2020-07-04,"toppenish","us","sphere"
"58818",2019-06-30,"wadworth (uk/england)","gb","triangle"
"32521",2020-02-04,"victoria (canada)","ca","cylinder"
"86128",2020-09-26,"lake havasu city","us","disk"
"31680",2020-02-25,"terre haute","us","fireball"
"10335",2019-11-15,"san diego","us","flash"
"84844",2020-09-02,"bristol (uk/england)","gb","other"
"54621",2019-06-15,"phoenix","us","triangle"
"11301",2020-11-17,"garland","us","unknown"
"37218",2020-03-25,"egg harbor township",NA,"unknown"
"19673",2020-12-12,"mahwah","us","unknown"
"12548",2020-01-01,"irvine","us",NA
"25320",2020-01-25,"sunrise","us","fireball"
"85949",2020-09-25,"tampa","us","rectangle"
"62231",2020-07-13,"belle harbor","us","changing"
"45836",2019-05-11,"college",NA,"cigar"
"29345",2020-02-14,"ephrata","us","cylinder"
"17024",2020-01-16,"paincines (pinnacle rocks in pinnacles national monument)",NA,"light"
"30174",2020-02-18,"pasadena","us","light"
"56365",2020-06-21,"santa cruz","us","light"
"44954",2020-04-06,"everett","us","other"
"50325",2020-05-03,"silver city","us","sphere"
"25987",2019-12-08,"st. julie (canada)",NA,"changing"
"84564",2020-09-21,"spencerville","us","cigar"
"17057",2020-01-16,"bakersfield","us","formation"
"44146",2020-04-29,"coral springs","us","light"
"72150",2020-08-01,"st. petersburg","us","light"
"33624",2020-03-10,"dublin","us","other"
"18239",2020-01-19,"cabo san lucas (mexico)",NA,"other"
"11529",2020-11-18,"roskilde (denmark)",NA,"oval"
